epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,6150.77,1.18887,0.75227,1.10518,0.85751,0.72471,0.79262,0.48289,1.35457,0.91891,1.2215,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6222.06,1.19163,0.74721,1.11134,0.8599,0.72147,0.78611,0.48091,1.35188,0.92715,1.22121,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6293.92,1.16126,0.75104,1.0953,0.85152,0.72062,0.78591,0.48086,1.3516,0.92778,1.22023,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6365.77,1.17096,0.73933,1.09768,0.85187,0.71518,0.78633,0.48058,1.35448,0.93097,1.22416,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6437.81,1.14228,0.71867,1.08378,0.84918,0.71927,0.78545,0.48007,1.35681,0.93418,1.22761,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6509.31,1.1316,0.72024,1.08418,0.83828,0.72775,0.78231,0.47822,1.35839,0.93853,1.22699,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,6581.37,1.14586,0.72723,1.08965,0.84848,0.73089,0.78355,0.48077,1.35899,0.9299,1.22973,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,6653.64,1.09944,0.67832,1.08838,0.82475,0.74346,0.78611,0.48227,1.36121,0.9199,1.23038,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,6724.24,1.09615,0.66213,1.07536,0.8432,0.73766,0.78774,0.48292,1.3604,0.91277,1.22671,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,6795.32,1.07221,0.64714,1.06208,0.83578,0.74241,0.78696,0.48381,1.3575,0.90888,1.22194,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,6865.6,1.07609,0.65823,1.08212,0.83403,0.73822,0.78392,0.4837,1.35518,0.90661,1.22283,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,6936.5,1.06632,0.66133,1.06877,0.84068,0.73489,0.78386,0.48317,1.35605,0.90989,1.22692,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,7007.14,1.06171,0.64447,1.06815,0.8414,0.7288,0.78223,0.48221,1.35465,0.90976,1.22732,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,7077.95,1.04918,0.62232,1.06831,0.84485,0.7267,0.78237,0.483,1.35062,0.91149,1.22541,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,7148.68,1.02216,0.61549,1.04596,0.84264,0.7267,0.78186,0.48504,1.34451,0.91429,1.22362,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,7219.74,1.04824,0.60646,1.06519,0.8466,0.72461,0.77934,0.48315,1.34491,0.91496,1.22425,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,7290.63,1.02644,0.60537,1.0539,0.84483,0.72042,0.77853,0.4845,1.34622,0.91775,1.22563,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
